shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S10008,45.500877,-73.569002,140015,29.558
S10008,45.500814,-73.568889,140016,29.570
S10008,45.500754,-73.568771,140017,29.581
S10008,45.500754,-73.568771,140018,29.581
S10008,45.500588,-73.568429,140019,29.613
S10008,45.500283,-73.567797,140020,29.673
S10008,45.499976,-73.567166,140021,29.733
S10008,45.499906,-73.567021,140022,29.747
S10008,45.499906,-73.567021,150001,29.747
S10008,45.499508,-73.566199,150002,29.825
S10008,45.499202,-73.565567,150003,29.885
S10008,45.499186,-73.565536,150004,29.888
S10008,45.499147,-73.565450,150005,29.896
S10008,45.499147,-73.565450,150006,29.896
S10008,45.499113,-73.565372,150007,29.903
S10008,45.499064,-73.565257,150008,29.914
S10008,45.499021,-73.565136,150009,29.924
S10008,45.499021,-73.565136,150010,29.924
